GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jcunit,com.github.dakusui.jcunitx.exceptions,BaseException,5,4,0,0,2,2,1,1,1,1
jcunit,com.github.dakusui.jcunitx.exceptions,JCUnitException,0,5,0,0,0,2,0,1,0,1
jcunit,com.github.dakusui.jcunitx.exceptions,FrameworkException,69,27,6,4,13,11,11,5,6,5
jcunit,com.github.dakusui.jcunitx.exceptions,TestDefinitionException,51,21,0,0,5,4,4,3,4,3
jcunit,com.github.dakusui.jcunitx.exceptions,InvalidTestException,0,10,0,0,0,4,0,2,0,2
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Joiner.Base.new LinkedList() {...},24,0,0,0,4,0,1,0,1,0
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Joiner.WeakenProduct2.new LinkedList() {...},0,22,0,0,0,4,0,1,0,1
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Generator.new Object() {...},2,3,0,0,1,1,1,1,1,1
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Generator.new Object() {...},0,5,0,0,0,2,0,2,0,2
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Partitioner.Standard.new ArrayList() {...},0,22,0,0,0,4,0,1,0,1
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Partitioner.Standard.new LinkedList() {...},0,26,0,0,0,4,0,1,0,1
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Partitioner.Standard.new LinkedList() {...},0,22,0,0,0,3,0,2,0,2
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Partitioner.Standard.new ArrayList() {...},0,22,0,0,0,4,0,1,0,1
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Partitioner.Standard,16,281,6,22,3,55,6,18,0,10
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Generator.Base,0,29,0,2,0,9,0,5,0,4
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Joiner.WeakenProduct.new ArrayList() {...},14,0,0,0,3,0,1,0,1,0
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Joiner.WeakenProduct.new ArrayList() {...},0,24,0,0,0,4,0,1,0,1
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Generator.Factory.Standard,0,22,0,2,0,4,0,3,0,2
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Joiner.WeakenProduct.new ArrayList() {...},14,0,0,0,3,0,1,0,1,0
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Joiner.Base,18,31,3,3,3,8,4,3,1,3
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Joiner.Standard,1,185,1,9,0,43,1,8,0,4
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Joiner.Standard.new Object() {...},6,190,5,13,2,39,5,12,0,8
jcunit,com.github.dakusui.jcunitx.pipeline.stages,ConfigFactory.Default,0,6,0,0,0,2,0,2,0,2
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Joiner.JoinerUtils,0,100,2,4,0,20,2,9,0,8
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Generator,0,9,0,0,0,2,0,1,0,1
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Joiner.WeakenProduct2,0,171,1,7,0,32,1,13,0,10
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Encoder.Standard,7,80,1,3,0,19,2,8,1,7
jcunit,com.github.dakusui.jcunitx.pipeline.stages,ConfigFactory.Base,0,28,0,0,0,7,0,5,0,5
jcunit,com.github.dakusui.jcunitx.pipeline.stages,Joiner.WeakenProduct,78,161,10,6,14,28,8,10,1,9
jcunit,com.github.dakusui.jcunitx.testsuite,SchemafulAArraySet.Builder.new HashSet() {...},0,11,0,0,0,3,0,1,0,1
jcunit,com.github.dakusui.jcunitx.testsuite,TestOracle.new TestOracle.Assertion() {...},0,6,0,0,0,1,0,1,0,1
jcunit,com.github.dakusui.jcunitx.testsuite,TestSuite.Builder,0,103,0,2,0,17,0,11,0,10
jcunit,com.github.dakusui.jcunitx.testsuite,SchemafulAArraySet,7,28,1,1,1,5,2,2,1,2
jcunit,com.github.dakusui.jcunitx.testsuite,TestOracle.Assertion,16,5,1,1,1,2,1,1,0,1
jcunit,com.github.dakusui.jcunitx.testsuite,TestCase.Category,0,41,0,0,0,5,0,2,0,2
jcunit,com.github.dakusui.jcunitx.testsuite,TestCase.Category.new TestCase() {...},0,41,0,0,0,5,0,5,0,5
jcunit,com.github.dakusui.jcunitx.testsuite,TestSuite.Builder.1Impl.new ArrayList() {...},0,33,0,0,0,5,0,3,0,3
jcunit,com.github.dakusui.jcunitx.testsuite,TestOracle.Result.Exit,0,24,0,0,0,3,0,1,0,1
jcunit,com.github.dakusui.jcunitx.testsuite,TestSuite.Builder.new TestSuite() {...},0,34,0,0,0,7,0,5,0,5
jcunit,com.github.dakusui.jcunitx.testsuite,TestOracle.Result.new TestOracle.Result() {...},0,11,0,0,0,3,0,3,0,3
jcunit,com.github.dakusui.jcunitx.testsuite,TestOracle.Result.new TestOracle.Result() {...},3,8,0,0,1,2,1,2,1,2
jcunit,com.github.dakusui.jcunitx.testsuite,TestInputConsumer,12,0,0,0,5,0,1,0,1,0
jcunit,com.github.dakusui.jcunitx.testsuite,TestOracle,15,15,0,0,1,3,1,2,1,2
jcunit,com.github.dakusui.jcunitx.testsuite,SchemafulAArraySet.Builder,10,96,5,5,0,17,5,6,0,6
jcunit,com.github.dakusui.jcunitx.testsuite,TestOracle.Result,24,10,0,0,5,2,1,2,1,2
jcunit,com.github.dakusui.jcunitx.testsuite,SchemafulAArraySet.Builder.new SchemafulAArraySet() {...},4,54,0,2,1,13,1,6,1,5
jcunit,com.github.dakusui.jcunitx.testsuite,TestOracle.Result.Exit.new TestOracle.Result.Exit() {...},2,6,0,0,1,1,1,1,1,1
jcunit,com.github.dakusui.jcunitx.testsuite,TestOracle.Result.Exit.new TestOracle.Result.Exit() {...},2,6,0,0,1,1,1,1,1,1
jcunit,com.github.dakusui.jcunitx.core,Cursor.ForRow.new Iterator() {...},0,39,0,2,0,5,0,4,0,3
jcunit,com.github.dakusui.jcunitx.core,AArray.Impl,4,3,0,0,1,1,1,1,1,1
jcunit,com.github.dakusui.jcunitx.core,TupleSet.Builder,0,28,0,0,0,8,0,4,0,4
